processos	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	media	speedup	efficiency	karpflatt
1	2.50473	2.46277	2.45424	2.46336	2.45443	2.43217	2.43824	2.43322	2.42163	2.422	2.44868	1	1	0
2	1.13771	1.13955	1.13991	1.13791	1.14174	1.14068	1.14226	1.31948	1.13713	1.14045	1.15768	2.11516	1.05758	-0.0544435
4	0.510997	0.516026	0.51543	0.519235	0.51649	0.515268	0.514713	0.515782	0.67007	0.537689	0.53317	4.59268	1.14817	-0.0430162
6	0.308551	0.307071	0.308446	0.313514	0.313405	0.367702	0.309491	0.329095	0.309571	0.336066	0.320291	7.64516	1.27419	-0.043038
8	0.319041	0.317496	0.267147	0.295616	0.29985	0.277592	0.295972	0.308911	0.285266	0.325792	0.299268	8.18222	1.02278	-0.00318145
