processos	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	media	speedup	efficiency	karpflatt
1	3.38475	3.39674	3.33635	3.33799	3.33231	3.35965	3.34163	3.38656	3.38531	3.34077	3.36021	1	1	0
2	1.62908	1.63053	1.62863	1.76144	1.62709	1.62691	1.62972	1.62854	1.68294	1.62085	1.64657	2.04073	1.02036	-0.0199577
4	1.25357	1.25835	1.26004	1.29333	1.51957	1.56845	1.43806	1.26219	1.25727	1.26384	1.33747	2.51237	0.628092	0.197375
6	0.665249	0.678122	0.642299	0.644201	0.67591	0.677845	0.7219	0.702728	0.718968	0.648819	0.677604	4.95895	0.826492	0.0419866
8	0.509234	0.489419	0.588315	0.516789	0.498137	0.535692	0.541587	0.545585	0.489363	0.519013	0.523313	6.42102	0.802628	0.0351297
